max_iter,L,neighbor,k,C,H,avg_fitness,std_fitness,avg_iter,avg_time,fitness_scores,fitness_list,fitness_median
100,50,scramble_mutation_optimized,3.0,100,1.01,73853.33,2118.13,89.77,0.31,"[71600.0, 74300.0, 74400.0, 73100.0, 72300.0, 71200.0, 75200.0, 75500.0, 72500.0, 77700.0, 77300.0, 73100.0, 73400.0, 70100.0, 70800.0, 74200.0, 69600.0, 76300.0, 74500.0, 72400.0, 71500.0, 75500.0, 76200.0, 73100.0, 74600.0, 75500.0, 76700.0, 76000.0, 75000.0, 72000.0]","[71600.0, 74300.0, 74400.0, 73100.0, 72300.0, 71200.0, 75200.0, 75500.0, 72500.0, 77700.0, 77300.0, 73100.0, 73400.0, 70100.0, 70800.0, 74200.0, 69600.0, 76300.0, 74500.0, 72400.0, 71500.0, 75500.0, 76200.0, 73100.0, 74600.0, 75500.0, 76700.0, 76000.0, 75000.0, 72000.0]",74250.0
100,50,scramble_mutation_optimized,3.0,1,1.01,73283.33,3231.42,87.8,0.31,"[71900.0, 68500.0, 68000.0, 69600.0, 72700.0, 74000.0, 72600.0, 75600.0, 70900.0, 75200.0, 72600.0, 75900.0, 74800.0, 76200.0, 70500.0, 76800.0, 75300.0, 66900.0, 69200.0, 79100.0, 77800.0, 75000.0, 78100.0, 76000.0, 69500.0, 76400.0, 74400.0, 69800.0, 74200.0, 71000.0]","[71900.0, 68500.0, 68000.0, 69600.0, 72700.0, 74000.0, 72600.0, 75600.0, 70900.0, 75200.0, 72600.0, 75900.0, 74800.0, 76200.0, 70500.0, 76800.0, 75300.0, 66900.0, 69200.0, 79100.0, 77800.0, 75000.0, 78100.0, 76000.0, 69500.0, 76400.0, 74400.0, 69800.0, 74200.0, 71000.0]",74100.0
100,50,scramble_mutation_optimized,3.0,100,1.1,72776.67,3152.0,90.43,0.33,"[67700.0, 70700.0, 77000.0, 71700.0, 69400.0, 72700.0, 75900.0, 74100.0, 74900.0, 76900.0, 66600.0, 74800.0, 73500.0, 75500.0, 73200.0, 73900.0, 66000.0, 76200.0, 72400.0, 73700.0, 67900.0, 73500.0, 74900.0, 71400.0, 73700.0, 74800.0, 68700.0, 77900.0, 74500.0, 69200.0]","[67700.0, 70700.0, 77000.0, 71700.0, 69400.0, 72700.0, 75900.0, 74100.0, 74900.0, 76900.0, 66600.0, 74800.0, 73500.0, 75500.0, 73200.0, 73900.0, 66000.0, 76200.0, 72400.0, 73700.0, 67900.0, 73500.0, 74900.0, 71400.0, 73700.0, 74800.0, 68700.0, 77900.0, 74500.0, 69200.0]",73600.0
100,50,scramble_mutation_optimized,3.0,10,1.01,73136.67,2148.41,88.73,0.31,"[74900.0, 70700.0, 75400.0, 73800.0, 75700.0, 74900.0, 72900.0, 79000.0, 75100.0, 75800.0, 73800.0, 70400.0, 73800.0, 73500.0, 74500.0, 71700.0, 70700.0, 73500.0, 69300.0, 72500.0, 69900.0, 75300.0, 70800.0, 73100.0, 73400.0, 72800.0, 71700.0, 73700.0, 71300.0, 70200.0]","[74900.0, 70700.0, 75400.0, 73800.0, 75700.0, 74900.0, 72900.0, 79000.0, 75100.0, 75800.0, 73800.0, 70400.0, 73800.0, 73500.0, 74500.0, 71700.0, 70700.0, 73500.0, 69300.0, 72500.0, 69900.0, 75300.0, 70800.0, 73100.0, 73400.0, 72800.0, 71700.0, 73700.0, 71300.0, 70200.0]",73450.0
100,50,scramble_mutation_optimized,3.0,200,1.01,73120.0,2318.25,91.37,0.32,"[72000.0, 76400.0, 73300.0, 77100.0, 72800.0, 73300.0, 75300.0, 70900.0, 74300.0, 70700.0, 71700.0, 74800.0, 68700.0, 73700.0, 73400.0, 70200.0, 72800.0, 72000.0, 75100.0, 76100.0, 76500.0, 74300.0, 73300.0, 75400.0, 69600.0, 69500.0, 71900.0, 74400.0, 68900.0, 75200.0]","[72000.0, 76400.0, 73300.0, 77100.0, 72800.0, 73300.0, 75300.0, 70900.0, 74300.0, 70700.0, 71700.0, 74800.0, 68700.0, 73700.0, 73400.0, 70200.0, 72800.0, 72000.0, 75100.0, 76100.0, 76500.0, 74300.0, 73300.0, 75400.0, 69600.0, 69500.0, 71900.0, 74400.0, 68900.0, 75200.0]",73300.0
100,50,scramble_mutation_optimized,2.0,1,1.01,72796.67,2216.38,87.97,0.3,"[72200.0, 68800.0, 74200.0, 74100.0, 78400.0, 69900.0, 70500.0, 76400.0, 70700.0, 74900.0, 73200.0, 71600.0, 70400.0, 73100.0, 74100.0, 73800.0, 74700.0, 72400.0, 73800.0, 77200.0, 70700.0, 74000.0, 71200.0, 70200.0, 73400.0, 71800.0, 70400.0, 73400.0, 73400.0, 71000.0]","[72200.0, 68800.0, 74200.0, 74100.0, 78400.0, 69900.0, 70500.0, 76400.0, 70700.0, 74900.0, 73200.0, 71600.0, 70400.0, 73100.0, 74100.0, 73800.0, 74700.0, 72400.0, 73800.0, 77200.0, 70700.0, 74000.0, 71200.0, 70200.0, 73400.0, 71800.0, 70400.0, 73400.0, 73400.0, 71000.0]",73150.0
100,50,scramble_mutation_optimized,3.0,10,1.3,73116.67,3001.45,88.17,0.31,"[72500.0, 77700.0, 72900.0, 70100.0, 74700.0, 71800.0, 74000.0, 75200.0, 76000.0, 70000.0, 75400.0, 76500.0, 67100.0, 71700.0, 70600.0, 71500.0, 69100.0, 68700.0, 73200.0, 74000.0, 76500.0, 75400.0, 75900.0, 76000.0, 70000.0, 78400.0, 70200.0, 76700.0, 73100.0, 68600.0]","[72500.0, 77700.0, 72900.0, 70100.0, 74700.0, 71800.0, 74000.0, 75200.0, 76000.0, 70000.0, 75400.0, 76500.0, 67100.0, 71700.0, 70600.0, 71500.0, 69100.0, 68700.0, 73200.0, 74000.0, 76500.0, 75400.0, 75900.0, 76000.0, 70000.0, 78400.0, 70200.0, 76700.0, 73100.0, 68600.0]",73150.0
100,50,scramble_mutation_optimized,3.0,200,1.1,73146.67,2460.18,92.1,0.33,"[72300.0, 76400.0, 73700.0, 75100.0, 74000.0, 74900.0, 70900.0, 75900.0, 72600.0, 71700.0, 73600.0, 72800.0, 73000.0, 71000.0, 75800.0, 73300.0, 79100.0, 70900.0, 71900.0, 76900.0, 73400.0, 69000.0, 77100.0, 70700.0, 70600.0, 68600.0, 69800.0, 73600.0, 72000.0, 73800.0]","[72300.0, 76400.0, 73700.0, 75100.0, 74000.0, 74900.0, 70900.0, 75900.0, 72600.0, 71700.0, 73600.0, 72800.0, 73000.0, 71000.0, 75800.0, 73300.0, 79100.0, 70900.0, 71900.0, 76900.0, 73400.0, 69000.0, 77100.0, 70700.0, 70600.0, 68600.0, 69800.0, 73600.0, 72000.0, 73800.0]",73150.0
100,50,scramble_mutation_optimized,3.0,10,1.2,73156.67,1514.53,88.83,0.31,"[73900.0, 74600.0, 74500.0, 70000.0, 70100.0, 72300.0, 73400.0, 74800.0, 72700.0, 73100.0, 73000.0, 74100.0, 74800.0, 73100.0, 73100.0, 74900.0, 71100.0, 72700.0, 73500.0, 72300.0, 72500.0, 76500.0, 75000.0, 72800.0, 74700.0, 71000.0, 70700.0, 72300.0, 73400.0, 73800.0]","[73900.0, 74600.0, 74500.0, 70000.0, 70100.0, 72300.0, 73400.0, 74800.0, 72700.0, 73100.0, 73000.0, 74100.0, 74800.0, 73100.0, 73100.0, 74900.0, 71100.0, 72700.0, 73500.0, 72300.0, 72500.0, 76500.0, 75000.0, 72800.0, 74700.0, 71000.0, 70700.0, 72300.0, 73400.0, 73800.0]",73100.0
100,50,scramble_mutation_optimized,2.0,200,1.01,71966.67,3241.12,90.0,0.3,"[74100.0, 68700.0, 75700.0, 72000.0, 67800.0, 71500.0, 70700.0, 73800.0, 73200.0, 73400.0, 74700.0, 77700.0, 73000.0, 73400.0, 65100.0, 73200.0, 64200.0, 77900.0, 66600.0, 73600.0, 73300.0, 74500.0, 74700.0, 70600.0, 73200.0, 69400.0, 70900.0, 68300.0, 72400.0, 71400.0]","[74100.0, 68700.0, 75700.0, 72000.0, 67800.0, 71500.0, 70700.0, 73800.0, 73200.0, 73400.0, 74700.0, 77700.0, 73000.0, 73400.0, 65100.0, 73200.0, 64200.0, 77900.0, 66600.0, 73600.0, 73300.0, 74500.0, 74700.0, 70600.0, 73200.0, 69400.0, 70900.0, 68300.0, 72400.0, 71400.0]",73100.0
100,50,scramble_mutation_optimized,2.0,200,1.3,72613.33,2203.59,88.97,0.3,"[73900.0, 71400.0, 72800.0, 71800.0, 71300.0, 73900.0, 69600.0, 72500.0, 69900.0, 73800.0, 72600.0, 71300.0, 74700.0, 73100.0, 73600.0, 73800.0, 75800.0, 73300.0, 76000.0, 71100.0, 72700.0, 73200.0, 73000.0, 73700.0, 74600.0, 74900.0, 72900.0, 65900.0, 67200.0, 74100.0]","[73900.0, 71400.0, 72800.0, 71800.0, 71300.0, 73900.0, 69600.0, 72500.0, 69900.0, 73800.0, 72600.0, 71300.0, 74700.0, 73100.0, 73600.0, 73800.0, 75800.0, 73300.0, 76000.0, 71100.0, 72700.0, 73200.0, 73000.0, 73700.0, 74600.0, 74900.0, 72900.0, 65900.0, 67200.0, 74100.0]",73050.0
100,50,scramble_mutation_optimized,2.0,200,1.1,72603.33,2550.36,91.33,0.31,"[77700.0, 70100.0, 70200.0, 72000.0, 72900.0, 72700.0, 76300.0, 74000.0, 66600.0, 75000.0, 73500.0, 71000.0, 74800.0, 72000.0, 71000.0, 65700.0, 73400.0, 70700.0, 75700.0, 71200.0, 72600.0, 74500.0, 74600.0, 69200.0, 73100.0, 73600.0, 73100.0, 74000.0, 72900.0, 74000.0]","[77700.0, 70100.0, 70200.0, 72000.0, 72900.0, 72700.0, 76300.0, 74000.0, 66600.0, 75000.0, 73500.0, 71000.0, 74800.0, 72000.0, 71000.0, 65700.0, 73400.0, 70700.0, 75700.0, 71200.0, 72600.0, 74500.0, 74600.0, 69200.0, 73100.0, 73600.0, 73100.0, 74000.0, 72900.0, 74000.0]",73000.0
100,50,scramble_mutation_optimized,3.0,200,1.3,73040.0,2498.61,86.9,0.3,"[71900.0, 72500.0, 74500.0, 69500.0, 73000.0, 69900.0, 72800.0, 74200.0, 74600.0, 72900.0, 74600.0, 71300.0, 70800.0, 73000.0, 74900.0, 70000.0, 77200.0, 76400.0, 71100.0, 78200.0, 72800.0, 71400.0, 72700.0, 76600.0, 77300.0, 67300.0, 72000.0, 70700.0, 72700.0, 74400.0]","[71900.0, 72500.0, 74500.0, 69500.0, 73000.0, 69900.0, 72800.0, 74200.0, 74600.0, 72900.0, 74600.0, 71300.0, 70800.0, 73000.0, 74900.0, 70000.0, 77200.0, 76400.0, 71100.0, 78200.0, 72800.0, 71400.0, 72700.0, 76600.0, 77300.0, 67300.0, 72000.0, 70700.0, 72700.0, 74400.0]",72800.0
100,50,scramble_mutation_optimized,2.0,10,1.2,72573.33,2810.21,88.6,0.3,"[72800.0, 69900.0, 75000.0, 71400.0, 76300.0, 72700.0, 72100.0, 74500.0, 71700.0, 77000.0, 74100.0, 68400.0, 69100.0, 74600.0, 72000.0, 67100.0, 68200.0, 69400.0, 76000.0, 74900.0, 75400.0, 72800.0, 69600.0, 75000.0, 74600.0, 72900.0, 72700.0, 74700.0, 66900.0, 75400.0]","[72800.0, 69900.0, 75000.0, 71400.0, 76300.0, 72700.0, 72100.0, 74500.0, 71700.0, 77000.0, 74100.0, 68400.0, 69100.0, 74600.0, 72000.0, 67100.0, 68200.0, 69400.0, 76000.0, 74900.0, 75400.0, 72800.0, 69600.0, 75000.0, 74600.0, 72900.0, 72700.0, 74700.0, 66900.0, 75400.0]",72800.0
100,50,scramble_mutation_optimized,3.0,100,1.2,72280.0,2595.56,85.93,0.3,"[70400.0, 75000.0, 73600.0, 72700.0, 69500.0, 70800.0, 68100.0, 77100.0, 72400.0, 73000.0, 74500.0, 71500.0, 66700.0, 73400.0, 75700.0, 76900.0, 70200.0, 71600.0, 71100.0, 72800.0, 74400.0, 69500.0, 74900.0, 74600.0, 73500.0, 72700.0, 68800.0, 73000.0, 67600.0, 72400.0]","[70400.0, 75000.0, 73600.0, 72700.0, 69500.0, 70800.0, 68100.0, 77100.0, 72400.0, 73000.0, 74500.0, 71500.0, 66700.0, 73400.0, 75700.0, 76900.0, 70200.0, 71600.0, 71100.0, 72800.0, 74400.0, 69500.0, 74900.0, 74600.0, 73500.0, 72700.0, 68800.0, 73000.0, 67600.0, 72400.0]",72700.0
100,50,scramble_mutation_optimized,2.0,100,1.01,72406.67,2563.97,88.53,0.3,"[72000.0, 74400.0, 75400.0, 74300.0, 67700.0, 73700.0, 70400.0, 77000.0, 75200.0, 67300.0, 74500.0, 69100.0, 70000.0, 73500.0, 72900.0, 70200.0, 72000.0, 72800.0, 72500.0, 72600.0, 73600.0, 70800.0, 74500.0, 68400.0, 73700.0, 71900.0, 73600.0, 68700.0, 77700.0, 71800.0]","[72000.0, 74400.0, 75400.0, 74300.0, 67700.0, 73700.0, 70400.0, 77000.0, 75200.0, 67300.0, 74500.0, 69100.0, 70000.0, 73500.0, 72900.0, 70200.0, 72000.0, 72800.0, 72500.0, 72600.0, 73600.0, 70800.0, 74500.0, 68400.0, 73700.0, 71900.0, 73600.0, 68700.0, 77700.0, 71800.0]",72700.0
100,50,scramble_mutation_optimized,2.0,200,1.2,72416.67,2203.19,90.8,0.31,"[74700.0, 69500.0, 76700.0, 70400.0, 73000.0, 73200.0, 74000.0, 74200.0, 74300.0, 73500.0, 68700.0, 72700.0, 72700.0, 73400.0, 72000.0, 70800.0, 76600.0, 72700.0, 71400.0, 73100.0, 70600.0, 73800.0, 74600.0, 74600.0, 66800.0, 71100.0, 71000.0, 70600.0, 69600.0, 72200.0]","[74700.0, 69500.0, 76700.0, 70400.0, 73000.0, 73200.0, 74000.0, 74200.0, 74300.0, 73500.0, 68700.0, 72700.0, 72700.0, 73400.0, 72000.0, 70800.0, 76600.0, 72700.0, 71400.0, 73100.0, 70600.0, 73800.0, 74600.0, 74600.0, 66800.0, 71100.0, 71000.0, 70600.0, 69600.0, 72200.0]",72700.0
100,50,scramble_mutation_optimized,2.0,1,1.3,72650.0,2558.61,89.4,0.31,"[71800.0, 70400.0, 75000.0, 75300.0, 75500.0, 71400.0, 67900.0, 73100.0, 70500.0, 74300.0, 74100.0, 76100.0, 71900.0, 72300.0, 76100.0, 74800.0, 75000.0, 71900.0, 72300.0, 70300.0, 73100.0, 69100.0, 77100.0, 74800.0, 68100.0, 69300.0, 73800.0, 70200.0, 69000.0, 75000.0]","[71800.0, 70400.0, 75000.0, 75300.0, 75500.0, 71400.0, 67900.0, 73100.0, 70500.0, 74300.0, 74100.0, 76100.0, 71900.0, 72300.0, 76100.0, 74800.0, 75000.0, 71900.0, 72300.0, 70300.0, 73100.0, 69100.0, 77100.0, 74800.0, 68100.0, 69300.0, 73800.0, 70200.0, 69000.0, 75000.0]",72700.0
100,50,scramble_mutation_optimized,2.0,10,1.1,72390.0,1989.7,87.73,0.3,"[72900.0, 71400.0, 73400.0, 73000.0, 74000.0, 73100.0, 70400.0, 70800.0, 71500.0, 74500.0, 73900.0, 72800.0, 68800.0, 74600.0, 70600.0, 73200.0, 72700.0, 72100.0, 70500.0, 69100.0, 77100.0, 74400.0, 74600.0, 75700.0, 69500.0, 71400.0, 72700.0, 71400.0, 72400.0, 69200.0]","[72900.0, 71400.0, 73400.0, 73000.0, 74000.0, 73100.0, 70400.0, 70800.0, 71500.0, 74500.0, 73900.0, 72800.0, 68800.0, 74600.0, 70600.0, 73200.0, 72700.0, 72100.0, 70500.0, 69100.0, 77100.0, 74400.0, 74600.0, 75700.0, 69500.0, 71400.0, 72700.0, 71400.0, 72400.0, 69200.0]",72700.0
100,50,scramble_mutation_optimized,3.0,100,1.3,72176.67,2343.03,92.77,0.32,"[72500.0, 73900.0, 71700.0, 69200.0, 72400.0, 74100.0, 72900.0, 69700.0, 73500.0, 73800.0, 76700.0, 71800.0, 69700.0, 71100.0, 77200.0, 74600.0, 71500.0, 66600.0, 73500.0, 74000.0, 73400.0, 70000.0, 73000.0, 69800.0, 67800.0, 73300.0, 71300.0, 73700.0, 72800.0, 69800.0]","[72500.0, 73900.0, 71700.0, 69200.0, 72400.0, 74100.0, 72900.0, 69700.0, 73500.0, 73800.0, 76700.0, 71800.0, 69700.0, 71100.0, 77200.0, 74600.0, 71500.0, 66600.0, 73500.0, 74000.0, 73400.0, 70000.0, 73000.0, 69800.0, 67800.0, 73300.0, 71300.0, 73700.0, 72800.0, 69800.0]",72650.0
100,50,scramble_mutation_optimized,3.0,1,1.1,73176.67,2690.93,88.3,0.32,"[71700.0, 76300.0, 73100.0, 75900.0, 70000.0, 74400.0, 72400.0, 72500.0, 70400.0, 71500.0, 74900.0, 71700.0, 74100.0, 71400.0, 72500.0, 72300.0, 74100.0, 78100.0, 75100.0, 64700.0, 74200.0, 77300.0, 69700.0, 71900.0, 72400.0, 73600.0, 72300.0, 76800.0, 72700.0, 77300.0]","[71700.0, 76300.0, 73100.0, 75900.0, 70000.0, 74400.0, 72400.0, 72500.0, 70400.0, 71500.0, 74900.0, 71700.0, 74100.0, 71400.0, 72500.0, 72300.0, 74100.0, 78100.0, 75100.0, 64700.0, 74200.0, 77300.0, 69700.0, 71900.0, 72400.0, 73600.0, 72300.0, 76800.0, 72700.0, 77300.0]",72600.0
100,50,scramble_mutation_optimized,2.0,100,1.2,72583.33,2771.65,86.77,0.3,"[74700.0, 74100.0, 75800.0, 72500.0, 72900.0, 71200.0, 68500.0, 72400.0, 70000.0, 70200.0, 78000.0, 74500.0, 72800.0, 64600.0, 71200.0, 71200.0, 71800.0, 77500.0, 72300.0, 74900.0, 69600.0, 71700.0, 69500.0, 72400.0, 76900.0, 72400.0, 74100.0, 75800.0, 72300.0, 71700.0]","[74700.0, 74100.0, 75800.0, 72500.0, 72900.0, 71200.0, 68500.0, 72400.0, 70000.0, 70200.0, 78000.0, 74500.0, 72800.0, 64600.0, 71200.0, 71200.0, 71800.0, 77500.0, 72300.0, 74900.0, 69600.0, 71700.0, 69500.0, 72400.0, 76900.0, 72400.0, 74100.0, 75800.0, 72300.0, 71700.0]",72400.0
100,50,scramble_mutation_optimized,3.0,10,1.1,72380.0,2326.43,87.47,0.32,"[71200.0, 74400.0, 69400.0, 69500.0, 72400.0, 74200.0, 74200.0, 72600.0, 69600.0, 70100.0, 71100.0, 70200.0, 70000.0, 72300.0, 72600.0, 72000.0, 78800.0, 75700.0, 73700.0, 72300.0, 67800.0, 72700.0, 74300.0, 75400.0, 71600.0, 72300.0, 72400.0, 72200.0, 76200.0, 70200.0]","[71200.0, 74400.0, 69400.0, 69500.0, 72400.0, 74200.0, 74200.0, 72600.0, 69600.0, 70100.0, 71100.0, 70200.0, 70000.0, 72300.0, 72600.0, 72000.0, 78800.0, 75700.0, 73700.0, 72300.0, 67800.0, 72700.0, 74300.0, 75400.0, 71600.0, 72300.0, 72400.0, 72200.0, 76200.0, 70200.0]",72300.0
100,50,scramble_mutation_optimized,2.0,1,1.1,72523.33,2455.16,88.57,0.37,"[71100.0, 67900.0, 71100.0, 74500.0, 71400.0, 71200.0, 69200.0, 72400.0, 74000.0, 71300.0, 72900.0, 68900.0, 72800.0, 70600.0, 72700.0, 74100.0, 76800.0, 69700.0, 72100.0, 70500.0, 76700.0, 77700.0, 71400.0, 74500.0, 71700.0, 73400.0, 73100.0, 70400.0, 74000.0, 77600.0]","[71100.0, 67900.0, 71100.0, 74500.0, 71400.0, 71200.0, 69200.0, 72400.0, 74000.0, 71300.0, 72900.0, 68900.0, 72800.0, 70600.0, 72700.0, 74100.0, 76800.0, 69700.0, 72100.0, 70500.0, 76700.0, 77700.0, 71400.0, 74500.0, 71700.0, 73400.0, 73100.0, 70400.0, 74000.0, 77600.0]",72250.0
100,50,scramble_mutation_optimized,3.0,1,1.3,72353.33,1878.43,90.13,0.31,"[74600.0, 73000.0, 71700.0, 76200.0, 69100.0, 72500.0, 71000.0, 75000.0, 72100.0, 74400.0, 75800.0, 72800.0, 72200.0, 71300.0, 71000.0, 71500.0, 71200.0, 69200.0, 72300.0, 73600.0, 72700.0, 71900.0, 74800.0, 73200.0, 74000.0, 73000.0, 69600.0, 70500.0, 71300.0, 69100.0]","[74600.0, 73000.0, 71700.0, 76200.0, 69100.0, 72500.0, 71000.0, 75000.0, 72100.0, 74400.0, 75800.0, 72800.0, 72200.0, 71300.0, 71000.0, 71500.0, 71200.0, 69200.0, 72300.0, 73600.0, 72700.0, 71900.0, 74800.0, 73200.0, 74000.0, 73000.0, 69600.0, 70500.0, 71300.0, 69100.0]",72250.0
100,50,scramble_mutation_optimized,3.0,1,1.2,72056.67,2093.11,88.43,0.31,"[73800.0, 73600.0, 70200.0, 74100.0, 69500.0, 66900.0, 70700.0, 71500.0, 74500.0, 71800.0, 74300.0, 74000.0, 73400.0, 71600.0, 75700.0, 69300.0, 70700.0, 73800.0, 68000.0, 74700.0, 74200.0, 71300.0, 73700.0, 72600.0, 72100.0, 72400.0, 72200.0, 70100.0, 70300.0, 70700.0]","[73800.0, 73600.0, 70200.0, 74100.0, 69500.0, 66900.0, 70700.0, 71500.0, 74500.0, 71800.0, 74300.0, 74000.0, 73400.0, 71600.0, 75700.0, 69300.0, 70700.0, 73800.0, 68000.0, 74700.0, 74200.0, 71300.0, 73700.0, 72600.0, 72100.0, 72400.0, 72200.0, 70100.0, 70300.0, 70700.0]",72150.0
100,50,scramble_mutation_optimized,3.0,200,1.2,72593.33,2580.17,89.63,0.31,"[70300.0, 78400.0, 67800.0, 70800.0, 73900.0, 69400.0, 76300.0, 71100.0, 75600.0, 68700.0, 75500.0, 75700.0, 71700.0, 72200.0, 73000.0, 75200.0, 71400.0, 71400.0, 69800.0, 73300.0, 74500.0, 74300.0, 69800.0, 70200.0, 73500.0, 71900.0, 70400.0, 74900.0, 70900.0, 75900.0]","[70300.0, 78400.0, 67800.0, 70800.0, 73900.0, 69400.0, 76300.0, 71100.0, 75600.0, 68700.0, 75500.0, 75700.0, 71700.0, 72200.0, 73000.0, 75200.0, 71400.0, 71400.0, 69800.0, 73300.0, 74500.0, 74300.0, 69800.0, 70200.0, 73500.0, 71900.0, 70400.0, 74900.0, 70900.0, 75900.0]",72050.0
100,50,scramble_mutation_optimized,2.0,100,1.1,71713.33,2216.56,87.1,0.3,"[75100.0, 70000.0, 74400.0, 73300.0, 71000.0, 73400.0, 74000.0, 71300.0, 75700.0, 71400.0, 72700.0, 74600.0, 73600.0, 71900.0, 72100.0, 74500.0, 72600.0, 71600.0, 71700.0, 67400.0, 69800.0, 69200.0, 69700.0, 68600.0, 72200.0, 68900.0, 70400.0, 69900.0, 67300.0, 73100.0]","[75100.0, 70000.0, 74400.0, 73300.0, 71000.0, 73400.0, 74000.0, 71300.0, 75700.0, 71400.0, 72700.0, 74600.0, 73600.0, 71900.0, 72100.0, 74500.0, 72600.0, 71600.0, 71700.0, 67400.0, 69800.0, 69200.0, 69700.0, 68600.0, 72200.0, 68900.0, 70400.0, 69900.0, 67300.0, 73100.0]",71800.0
100,50,scramble_mutation_optimized,2.0,10,1.3,72180.0,3162.43,84.8,0.28,"[71000.0, 66900.0, 71300.0, 74700.0, 69300.0, 68900.0, 71700.0, 76100.0, 71500.0, 74300.0, 74400.0, 70400.0, 74400.0, 73400.0, 71100.0, 76100.0, 69400.0, 72900.0, 71200.0, 71600.0, 76800.0, 78700.0, 72800.0, 71400.0, 64400.0, 72200.0, 69500.0, 67300.0, 76100.0, 75600.0]","[71000.0, 66900.0, 71300.0, 74700.0, 69300.0, 68900.0, 71700.0, 76100.0, 71500.0, 74300.0, 74400.0, 70400.0, 74400.0, 73400.0, 71100.0, 76100.0, 69400.0, 72900.0, 71200.0, 71600.0, 76800.0, 78700.0, 72800.0, 71400.0, 64400.0, 72200.0, 69500.0, 67300.0, 76100.0, 75600.0]",71650.0
100,50,scramble_mutation_optimized,2.0,1,1.2,72176.67,2855.72,89.37,0.3,"[70300.0, 70400.0, 78600.0, 78400.0, 69400.0, 74400.0, 73800.0, 73400.0, 73200.0, 71900.0, 71700.0, 73000.0, 70900.0, 71500.0, 73500.0, 76000.0, 70400.0, 69700.0, 70700.0, 71300.0, 69600.0, 70900.0, 67900.0, 72000.0, 69200.0, 78700.0, 67300.0, 74300.0, 70700.0, 72200.0]","[70300.0, 70400.0, 78600.0, 78400.0, 69400.0, 74400.0, 73800.0, 73400.0, 73200.0, 71900.0, 71700.0, 73000.0, 70900.0, 71500.0, 73500.0, 76000.0, 70400.0, 69700.0, 70700.0, 71300.0, 69600.0, 70900.0, 67900.0, 72000.0, 69200.0, 78700.0, 67300.0, 74300.0, 70700.0, 72200.0]",71600.0
100,50,scramble_mutation_optimized,2.0,100,1.3,71656.67,2129.58,85.0,0.29,"[73600.0, 71000.0, 69600.0, 70300.0, 73000.0, 71000.0, 68900.0, 73000.0, 70300.0, 73900.0, 75900.0, 75000.0, 71300.0, 75700.0, 71000.0, 67600.0, 68400.0, 73100.0, 69100.0, 71100.0, 71300.0, 71600.0, 69600.0, 70800.0, 73300.0, 70600.0, 74500.0, 69900.0, 71400.0, 73900.0]","[73600.0, 71000.0, 69600.0, 70300.0, 73000.0, 71000.0, 68900.0, 73000.0, 70300.0, 73900.0, 75900.0, 75000.0, 71300.0, 75700.0, 71000.0, 67600.0, 68400.0, 73100.0, 69100.0, 71100.0, 71300.0, 71600.0, 69600.0, 70800.0, 73300.0, 70600.0, 74500.0, 69900.0, 71400.0, 73900.0]",71200.0
